attendance,internal1,internal2,assignment,final_result
88,5,6,10,0
92,5,5,10,0
80,7,8,10,1
96,15,14,15,1
92,6,10,10,1
80,15,15,10,1
100,12,12,10,1
88,6,5,10,0
100,16,18,10,1
100,14,15,10,1
100,10,8,10,0
92,10,12,15,1
96,14,14,5,1
96,10,10,10,1
100,14,16,15,1
92,14,14,5,1
88,13,14,15,1
92,8,10,10,1
68,6,5,5,0
92,8,10,5,1
100,13,14,10,1
100,12,15,5,1
96,15,15,10,1
100,13,13,10,1
96,10,9,15,0
72,6,9,5,0
96,12,12,5,1
92,15,16,5,1
92,11,11,10,1
68,10,12,10,1
100,9,11,10,1
100,17,16,10,1
100,17,16,10,1
100,8,10,10,1
100,12,14,5,1
100,8,7,5,0
96,15,16,15,1
86,15,16,15,1
96,12,12,15,1
84,14,13,5,1
50,7,10,10,1
84,12,12,5,1
96,19,18,10,1
100,8,8,5,1
72,10,10,10,0
84,8,8,10,0
76,11,12,10,1
92,19,19,20,1
96,15,15,10,1
96,7,7,10,0
96,12,13,10,1
96,11,13,10,1
88,11,11,5,1
100,8,10,5,1
88,10,13,5,1
84,8,9,10,1
100,14,15,10,1
92,14,15,10,1
96,9,10,10,0
96,15,16,10,1
88,10,11,10,1
88,10,8,5,1
92,8,10,10,0
96,10,9,15,0
100,10,10,10,1
96,16,15,10,1
92,13,13,20,1
92,7,7,20,0
96,8,9,10,0
76,16,16,20,1
100,13,15,20,1
100,10,10,20,1
96,8,6,10,0
96,12,12,5,1
0,11,12,10,1
88,9,9,10,1
84,11,11,20,1
100,11,11,20,1
96,8,8,5,1
76,5,5,10,0
96,10,12,5,1
92,11,10,15,1
80,7,6,10,0
92,15,15,10,1
96,9,10,10,1
88,7,9,10,0
92,8,7,10,0
92,13,14,15,1
76,11,10,10,1
64,8,6,10,0
100,7,7,15,0
92,16,17,5,1
92,7,6,10,0
100,11,10,10,1
88,11,13,20,1
96,7,10,20,1
96,11,15,5,1
96,8,9,10,1
88,11,14,5,1
100,7,9,15,0
72,7,7,5,0
100,16,17,15,1
92,10,13,5,1
48,7,6,10,0
100,16,18,10,1
80,10,11,20,1
84,7,8,20,0
96,16,18,15,1
88,10,13,20,1
92,14,15,15,1
88,18,19,5,1
100,7,10,15,1
88,10,13,10,1
80,18,19,5,1
84,9,9,10,0
96,15,15,10,1
96,11,13,10,1
100,13,14,5,1
60,9,7,10,0
88,14,13,5,1
96,16,15,10,1
88,16,14,20,1
96,13,13,10,1
64,14,11,5,1
100,8,7,10,0
100,13,13,5,1
100,7,10,10,1
96,7,8,10,0
100,7,4,5,0
84,18,18,5,1
100,12,0,15,0
100,8,0,5,0
76,10,13,5,1
68,12,11,5,1
100,9,0,10,0
100,11,0,15,0
100,10,0,10,0
100,4,0,5,0
100,14,12,10,1
100,16,16,5,1
100,7,9,20,0
84,9,9,5,0
96,9,11,15,1
96,14,14,5,1
100,5,0,5,0
100,8,11,10,1
100,6,7,10,0
96,10,11,10,1
100,7,6,5,0
100,8,9,5,1
100,6,5,5,0
88,12,13,5,1
84,10,10,15,1
100,5,0,5,0
100,11,11,5,1
96,11,8,10,0
84,16,12,5,1
88,9,8,5,1
96,17,15,5,1
92,10,12,10,1
100,7,6,5,0
88,5,9,10,0
100,7,0,5,0
96,10,10,5,1
100,5,8,10,0
68,12,11,5,1
92,10,10,10,1
100,14,15,10,1
100,6,7,10,0
100,14,14,10,1
100,6,5,5,0
96,13,15,10,1
100,13,11,10,1
100,8,7,10,0
92,10,11,10,0
92,10,9,10,0
96,13,13,10,1
92,6,5,10,0
80,10,8,5,0
92,10,10,10,1
80,9,8,10,0
96,12,13,10,1
100,16,17,10,1
0,9,9,10,0
72,12,13,10,1
76,12,12,10,1
96,11,12,5,1
100,15,15,10,1
88,8,7,10,0
92,8,9,10,1
80,11,12,10,1
100,8,8,10,0
76,7,8,10,0
84,8,9,5,1
100,13,14,5,1
100,14,15,10,1
92,17,15,5,1
84,9,9,5,1
52,18,18,5,1
100,9,9,10,1
96,16,16,10,1
88,8,10,10,1
92,9,9,10,1
64,7,6,5,0
88,10,10,20,1
44,10,9,15,0
90,7,7,10,0
80,11,12,10,1
88,9,9,5,1
88,7,7,15,0
80,8,8,20,0
74,12,12,10,1
100,12,13,10,1
70,6,7,10,0
76,8,10,5,1
96,14,15,10,1
56,6,6,10,0
74,6,6,10,0
94,7,7,5,0
92,9,10,15,1
96,6,6,10,0
100,6,5,15,0
96,16,16,10,1
100,12,13,10,1
100,13,13,15,1
68,9,8,10,0
80,16,15,10,1
96,12,11,10,1
72,10,8,10,0
80,12,10,15,1
72,13,13,10,1
92,11,11,10,1
72,11,9,10,0
96,14,13,10,1
64,9,7,10,0
80,11,9,15,1
92,14,13,10,1
60,13,12,5,1
96,13,11,10,1
100,7,7,10,0
72,12,12,10,1
96,10,11,10,1
100,6,0,5,0
100,13,12,5,1
100,7,0,15,0
88,18,18,5,1
92,12,12,5,1
68,6,8,5,0
84,3,5,10,0
100,13,15,5,1
100,6,8,5,0
88,7,10,10,1
92,6,9,5,0
100,8,9,5,0
100,8,12,5,1
96,7,9,5,0
88,14,12,20,1
76,11,11,10,1
84,15,14,10,1
100,10,9,20,0
58,17,18,10,1
96,8,8,10,0
98,13,12,15,1
92,10,9,15,0
100,9,10,15,0
74,17,17,10,1
96,9,9,10,1
84,12,10,10,1
80,10,9,10,1
100,6,0,10,0
70,9,9,10,0
92,15,14,20,1
96,11,11,10,1
96,15,14,10,1
96,10,10,10,1
88,12,12,10,1
0,10,9,10,0
56,9,9,5,0
70,9,8,10,0
84,10,11,5,1
40,8,8,5,0
62,11,9,5,1
98,12,12,20,1
92,8,9,10,1
92,10,9,10,1
96,12,10,10,1
90,18,18,15,1
88,13,12,15,1
88,15,14,15,1
82,15,13,10,1
78,12,11,10,1
100,15,15,15,1
76,12,12,10,1
88,18,18,20,1
84,14,13,15,1
92,14,12,5,1
100,10,9,10,0
80,10,8,10,0
100,14,13,20,1
90,16,15,5,1
72,12,10,10,1
100,11,11,5,1
100,15,12,15,1
100,17,17,20,1
60,15,14,10,1
84,14,12,10,1
100,17,18,5,1
24,8,9,5,0
100,15,12,10,1
64,12,10,10,1
100,9,9,10,0
60,14,12,10,1
94,13,11,10,1
56,13,10,10,1
72,15,13,15,1
20,13,11,15,1
100,8,8,10,0
